customer_id,purchase_amount,quantity
1,100,1
2,101,2
3,102,3
4,103,4
5,104,5
6,105,6
7,106,7
8,107,8
9,108,9
10,109,10
11,110,1
12,111,2
13,112,3
14,113,4
15,114,5
16,115,6
17,116,7
18,117,8
19,118,9
20,119,10
21,120,1
22,121,2
23,122,3
24,123,4
25,124,5
26,125,6
27,126,7
28,127,8
29,128,9
30,129,10
31,130,1
32,131,2
33,132,3
34,133,4
35,134,5
36,135,6
37,136,7
38,137,8
39,138,9
40,139,10
41,140,1
42,141,2
43,142,3
44,143,4
45,144,5
46,145,6
47,146,7
48,147,8
49,148,9
50,149,10
51,150,1
52,151,2
53,152,3
54,153,4
55,154,5
56,155,6
57,156,7
58,157,8
59,158,9
60,159,10
61,160,1
62,161,2
63,162,3
64,163,4
65,164,5
66,165,6
67,166,7
68,167,8
69,168,9
70,169,10
71,170,1
72,171,2
73,172,3
74,173,4
75,174,5
76,175,6
77,176,7
78,177,8
79,178,9
80,179,10
81,180,1
82,181,2
83,182,3
84,183,4
85,184,5
86,185,6
87,186,7
88,187,8
89,188,9
90,189,10
91,190,1
92,191,2
93,192,3
94,193,4
95,194,5
96,195,6
97,196,7
98,197,8
99,198,9
100,199,10
101,200,1
102,201,2
103,202,3
104,203,4
105,204,5
106,205,6
107,206,7
108,207,8
109,208,9
110,209,10
111,210,1
112,211,2
113,212,3
114,213,4
115,214,5
116,215,6
117,216,7
118,217,8
119,218,9
120,219,10
121,220,1
122,221,2
123,222,3
124,223,4
125,224,5
126,225,6
127,226,7
128,227,8
129,228,9
130,229,10
131,230,1
132,231,2
133,232,3
134,233,4
135,234,5
136,235,6
137,236,7
138,237,8
139,238,9
140,239,10
141,240,1
142,241,2
143,242,3
144,243,4
145,244,5
146,245,6
147,246,7
148,247,8
149,248,9
150,249,10
151,250,1
152,251,2
153,252,3
154,253,4
155,254,5
156,255,6
157,256,7
158,257,8
159,258,9
160,259,10
161,260,1
162,261,2
163,262,3
164,263,4
165,264,5
166,265,6
167,266,7
168,267,8
169,268,9
