customer_id,purchase_amount,quantity
1,100,1
2,110,2
3,120,3
4,130,4
5,140,5
6,150,1
7,160,2
8,170,3
9,180,4
10,190,5
11,200,1
12,210,2
13,220,3
14,230,4
15,240,5
16,250,1
17,260,2
18,270,3
19,280,4
20,290,5
21,300,1
22,310,2
23,320,3
24,330,4
25,340,5
26,350,1
27,360,2
28,370,3
29,380,4
30,390,5
31,400,1
32,410,2
33,420,3
34,430,4
35,440,5
36,450,1
37,460,2
38,470,3
39,480,4
40,490,5
41,500,1
42,510,2
43,520,3
44,530,4
45,540,5
46,550,1
47,560,2
48,570,3
49,580,4
50,590,5
51,600,1
52,610,2
53,620,3
54,630,4
55,640,5
56,650,1
57,660,2
58,670,3
59,680,4
60,690,5
61,700,1
62,710,2
63,720,3
64,730,4
65,740,5
66,750,1
67,760,2
68,770,3
69,780,4
70,790,5
71,800,1
72,810,2
73,820,3
74,830,4
75,840,5
76,850,1
77,860,2
78,870,3
79,880,4
80,890,5
81,900,1
82,910,2
83,920,3
84,930,4
85,940,5
86,950,1
87,960,2
88,970,3
89,980,4
90,990,5
91,1000,1
92,1010,2
93,1020,3
94,1030,4
95,1040,5
96,1050,1
97,1060,2
98,1070,3
99,1080,4
100,1090,5
